,Date,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
01-2000,,0.0,0.0,0.0,0.0,0.3870967741935484,0.3096774193548387,0.4709677419354838,0.0096774193548387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064516129032258,0.0,0.0,0.0
02-2000,,0.2068965517241379,0.7428571428571429,0.0,0.7642857142857143,0.0,0.0,0.0,0.0,1.2413793103448276,0.0,0.0,7.292857142857144,0.0,2.064285714285714,0.0,0.0285714285714285,0.0,0.0,0.5785714285714285,0.0,0.0
03-2000,,0.0,0.2451612903225806,0.5419354838709678,2.335483870967742,0.7161290322580645,0.2451612903225806,3.303225806451613,0.0,2.583870967741935,3.393548387096774,1.2129032258064516,0.0,0.0,0.6709677419354839,0.0,0.6258064516129032,0.0,1.967741935483871,1.0,0.0741935483870967,1.6451612903225807
04-2000,,4.4,4.366666666666666,0.9866666666666668,3.193333333333334,1.54,3.5,1.4933333333333332,3.1133333333333337,0.92,0.0266666666666666,5.12,6.34,4.62,0.0,0.0,3.993333333333333,0.1466666666666666,0.4866666666666666,1.1266666666666665,2.55,1.3166666666666669
05-2000,,2.4000000000000004,2.4129032258064513,5.296774193548388,0.6258064516129032,11.083870967741936,4.141935483870968,9.651612903225804,1.6483870967741936,1.632258064516129,4.161290322580645,4.019354838709678,0.864516129032258,0.832258064516129,3.5806451612903225,0.0,9.290322580645162,3.0064516129032257,3.903225806451613,11.458064516129031,1.2064516129032257,1.3483870967741935
06-2000,,15.306666666666668,14.343333333333334,15.603333333333332,6.8133333333333335,15.793333333333331,12.7,13.66,20.03666666666667,12.663333333333332,8.993333333333334,12.173333333333334,19.36,11.31,25.206666666666667,0.0,15.976666666666668,15.746666666666666,14.696666666666664,23.726666666666667,6.73,6.916666666666667
07-2000,,7.845161290322581,11.519354838709678,5.464516129032258,8.619354838709677,9.52258064516129,29.838709677419356,13.86451612903226,28.77741935483871,11.861290322580643,23.90967741935484,18.01935483870968,12.47741935483871,9.235483870967744,19.822580645161292,0.0,5.067741935483871,14.63225806451613,8.66451612903226,29.906451612903226,13.238709677419354,16.225806451612904
08-2000,,16.425806451612903,8.329032258064515,12.36774193548387,4.841935483870968,13.49032258064516,6.583870967741936,12.858064516129032,15.4,6.103225806451612,5.683870967741935,9.858064516129032,13.1,12.858064516129032,13.170967741935485,0.0,6.212903225806452,5.470967741935484,11.7,33.78064516129032,33.09032258064516,22.516129032258064
09-2000,,7.14,4.126666666666667,0.8733333333333333,1.0433333333333334,8.53,13.166666666666666,14.22,15.943333333333332,5.193333333333333,9.76,11.966666666666669,9.843333333333334,5.53,11.986666666666666,0.0,2.9833333333333334,3.146666666666667,11.14,2.46,21.376666666666665,15.9
10-2000,,7.625806451612903,6.816129032258065,7.993548387096775,7.916129032258064,6.535483870967742,5.293548387096774,8.025806451612903,9.774193548387096,12.529032258064516,6.090322580645162,10.825806451612904,5.04516129032258,5.732258064516128,13.06451612903226,0.0,3.545161290322581,1.7774193548387098,4.406451612903226,7.396774193548387,12.038709677419355,3.9516129032258065
11-2000,,0.48,8.393333333333334,2.76,1.32,1.5666666666666669,2.183333333333333,7.386666666666667,0.2533333333333333,0.4733333333333333,6.8933333333333335,4.26,6.72,1.6033333333333333,1.5599999999999998,0.0,5.996666666666667,2.4766666666666666,1.2433333333333332,0.5833333333333334,6.2,2.3699999999999997
12-2000,,1.1225806451612903,0.0,0.0,0.0,0.0,1.1548387096774193,0.0,0.7161290322580645,0.0,0.0,0.1548387096774193,1.9096774193548387,0.0,0.1354838709677419,0.0,0.2419354838709677,1.1935483870967742,1.3096774193548386,0.0096774193548387,0.1677419354838709,0.9580645161290322
01-2001,,,,,,,,,,,,,,,,,,,,,,
02-2001,,,,,,,,,,,,,,,,,,,,,,
03-2001,,,,,,,,,,,,,,,,,,,,,,
04-2001,,,,,,,,,,,,,,,,,,,,,,
05-2001,,,,,,,,,,,,,,,,,,,,,,
06-2001,,,,,,,,,,,,,,,,,,,,,,
07-2001,,,,,,,,,,,,,,,,,,,,,,
08-2001,,,,,,,,,,,,,,,,,,,,,,
09-2001,,,,,,,,,,,,,,,,,,,,,,
10-2001,,,,,,,,,,,,,,,,,,,,,,
11-2001,,,,,,,,,,,,,,,,,,,,,,
12-2001,,,,,,,,,,,,,,,,,,,,,,
01-2002,,,,,,,,,,,,,,,,,,,,,,
02-2002,,,,,,,,,,,,,,,,,,,,,,
03-2002,,,,,,,,,,,,,,,,,,,,,,
04-2002,,,,,,,,,,,,,,,,,,,,,,
05-2002,,,,,,,,,,,,,,,,,,,,,,
06-2002,,,,,,,,,,,,,,,,,,,,,,
07-2002,,,,,,,,,,,,,,,,,,,,,,
08-2002,,,,,,,,,,,,,,,,,,,,,,
09-2002,,,,,,,,,,,,,,,,,,,,,,
10-2002,,,,,,,,,,,,,,,,,,,,,,
11-2002,,,,,,,,,,,,,,,,,,,,,,
12-2002,,,,,,,,,,,,,,,,,,,,,,
01-2003,,,,,,,,,,,,,,,,,,,,,,
02-2003,,,,,,,,,,,,,,,,,,,,,,
03-2003,,,,,,,,,,,,,,,,,,,,,,
04-2003,,,,,,,,,,,,,,,,,,,,,,
05-2003,,,,,,,,,,,,,,,,,,,,,,
06-2003,,,,,,,,,,,,,,,,,,,,,,
07-2003,,,,,,,,,,,,,,,,,,,,,,
08-2003,,,,,,,,,,,,,,,,,,,,,,
09-2003,,,,,,,,,,,,,,,,,,,,,,
10-2003,,,,,,,,,,,,,,,,,,,,,,
11-2003,,,,,,,,,,,,,,,,,,,,,,
12-2003,,,,,,,,,,,,,,,,,,,,,,
01-2004,,,,,,,,,,,,,,,,,,,,,,
02-2004,,,,,,,,,,,,,,,,,,,,,,
03-2004,,,,,,,,,,,,,,,,,,,,,,
04-2004,,,,,,,,,,,,,,,,,,,,,,
05-2004,,,,,,,,,,,,,,,,,,,,,,
06-2004,,,,,,,,,,,,,,,,,,,,,,
07-2004,,,,,,,,,,,,,,,,,,,,,,
08-2004,,,,,,,,,,,,,,,,,,,,,,
09-2004,,,,,,,,,,,,,,,,,,,,,,
10-2004,,,,,,,,,,,,,,,,,,,,,,
11-2004,,,,,,,,,,,,,,,,,,,,,,
12-2004,,,,,,,,,,,,,,,,,,,,,,
01-2005,,,,,,,,,,,,,,,,,,,,,,
02-2005,,,,,,,,,,,,,,,,,,,,,,
03-2005,,,,,,,,,,,,,,,,,,,,,,
04-2005,,,,,,,,,,,,,,,,,,,,,,
05-2005,,,,,,,,,,,,,,,,,,,,,,
06-2005,,,,,,,,,,,,,,,,,,,,,,
07-2005,,,,,,,,,,,,,,,,,,,,,,
08-2005,,,,,,,,,,,,,,,,,,,,,,
09-2005,,,,,,,,,,,,,,,,,,,,,,
10-2005,,,,,,,,,,,,,,,,,,,,,,
11-2005,,,,,,,,,,,,,,,,,,,,,,
12-2005,,,,,,,,,,,,,,,,,,,,,,
01-2006,,,,,,,,,,,,,,,,,,,,,,
02-2006,,,,,,,,,,,,,,,,,,,,,,
03-2006,,,,,,,,,,,,,,,,,,,,,,
04-2006,,,,,,,,,,,,,,,,,,,,,,
05-2006,,,,,,,,,,,,,,,,,,,,,,
06-2006,,,,,,,,,,,,,,,,,,,,,,
07-2006,,,,,,,,,,,,,,,,,,,,,,
08-2006,,,,,,,,,,,,,,,,,,,,,,
09-2006,,,,,,,,,,,,,,,,,,,,,,
10-2006,,,,,,,,,,,,,,,,,,,,,,
11-2006,,,,,,,,,,,,,,,,,,,,,,
12-2006,,,,,,,,,,,,,,,,,,,,,,
01-2007,,,,,,,,,,,,,,,,,,,,,,
02-2007,,,,,,,,,,,,,,,,,,,,,,
03-2007,,,,,,,,,,,,,,,,,,,,,,
04-2007,,,,,,,,,,,,,,,,,,,,,,
05-2007,,,,,,,,,,,,,,,,,,,,,,
06-2007,,,,,,,,,,,,,,,,,,,,,,
07-2007,,,,,,,,,,,,,,,,,,,,,,
08-2007,,,,,,,,,,,,,,,,,,,,,,
09-2007,,,,,,,,,,,,,,,,,,,,,,
10-2007,,,,,,,,,,,,,,,,,,,,,,
11-2007,,,,,,,,,,,,,,,,,,,,,,
12-2007,,,,,,,,,,,,,,,,,,,,,,
01-2008,,,,,,,,,,,,,,,,,,,,,,
02-2008,,,,,,,,,,,,,,,,,,,,,,
03-2008,,,,,,,,,,,,,,,,,,,,,,
04-2008,,,,,,,,,,,,,,,,,,,,,,
05-2008,,,,,,,,,,,,,,,,,,,,,,
06-2008,,,,,,,,,,,,,,,,,,,,,,
07-2008,,,,,,,,,,,,,,,,,,,,,,
08-2008,,,,,,,,,,,,,,,,,,,,,,
09-2008,,,,,,,,,,,,,,,,,,,,,,
10-2008,,,,,,,,,,,,,,,,,,,,,,
11-2008,,,,,,,,,,,,,,,,,,,,,,
12-2008,,,,,,,,,,,,,,,,,,,,,,
01-2009,,,,,,,,,,,,,,,,,,,,,,
02-2009,,,,,,,,,,,,,,,,,,,,,,
03-2009,,,,,,,,,,,,,,,,,,,,,,
04-2009,,,,,,,,,,,,,,,,,,,,,,
05-2009,,,,,,,,,,,,,,,,,,,,,,
06-2009,,,,,,,,,,,,,,,,,,,,,,
07-2009,,,,,,,,,,,,,,,,,,,,,,
08-2009,,,,,,,,,,,,,,,,,,,,,,
09-2009,,,,,,,,,,,,,,,,,,,,,,
10-2009,,,,,,,,,,,,,,,,,,,,,,
11-2009,,,,,,,,,,,,,,,,,,,,,,
12-2009,,,,,,,,,,,,,,,,,,,,,,
01-2010,,,,,,,,,,,,,,,,,,,,,,
02-2010,,,,,,,,,,,,,,,,,,,,,,
03-2010,,,,,,,,,,,,,,,,,,,,,,
04-2010,,,,,,,,,,,,,,,,,,,,,,
05-2010,,,,,,,,,,,,,,,,,,,,,,
06-2010,,,,,,,,,,,,,,,,,,,,,,
07-2010,,,,,,,,,,,,,,,,,,,,,,
08-2010,,,,,,,,,,,,,,,,,,,,,,
09-2010,,,,,,,,,,,,,,,,,,,,,,
10-2010,,,,,,,,,,,,,,,,,,,,,,
11-2010,,,,,,,,,,,,,,,,,,,,,,
12-2010,,,,,,,,,,,,,,,,,,,,,,
01-2011,,,,,,,,,,,,,,,,,,,,,,
02-2011,,,,,,,,,,,,,,,,,,,,,,
03-2011,,,,,,,,,,,,,,,,,,,,,,
04-2011,,,,,,,,,,,,,,,,,,,,,,
05-2011,,,,,,,,,,,,,,,,,,,,,,
06-2011,,,,,,,,,,,,,,,,,,,,,,
07-2011,,,,,,,,,,,,,,,,,,,,,,
08-2011,,,,,,,,,,,,,,,,,,,,,,
09-2011,,,,,,,,,,,,,,,,,,,,,,
10-2011,,,,,,,,,,,,,,,,,,,,,,
11-2011,,,,,,,,,,,,,,,,,,,,,,
12-2011,,,,,,,,,,,,,,,,,,,,,,
01-2012,,,,,,,,,,,,,,,,,,,,,,
02-2012,,,,,,,,,,,,,,,,,,,,,,
03-2012,,,,,,,,,,,,,,,,,,,,,,
04-2012,,,,,,,,,,,,,,,,,,,,,,
05-2012,,,,,,,,,,,,,,,,,,,,,,
06-2012,,,,,,,,,,,,,,,,,,,,,,
07-2012,,,,,,,,,,,,,,,,,,,,,,
08-2012,,,,,,,,,,,,,,,,,,,,,,
09-2012,,,,,,,,,,,,,,,,,,,,,,
10-2012,,,,,,,,,,,,,,,,,,,,,,
11-2012,,,,,,,,,,,,,,,,,,,,,,
12-2012,,,,,,,,,,,,,,,,,,,,,,
01-2013,,,,,,,,,,,,,,,,,,,,,,
02-2013,,,,,,,,,,,,,,,,,,,,,,
03-2013,,,,,,,,,,,,,,,,,,,,,,
04-2013,,,,,,,,,,,,,,,,,,,,,,
05-2013,,,,,,,,,,,,,,,,,,,,,,
06-2013,,,,,,,,,,,,,,,,,,,,,,
07-2013,,,,,,,,,,,,,,,,,,,,,,
08-2013,,,,,,,,,,,,,,,,,,,,,,
09-2013,,,,,,,,,,,,,,,,,,,,,,
10-2013,,,,,,,,,,,,,,,,,,,,,,
11-2013,,,,,,,,,,,,,,,,,,,,,,
12-2013,,,,,,,,,,,,,,,,,,,,,,
01-2014,,,,,,,,,,,,,,,,,,,,,,
02-2014,,,,,,,,,,,,,,,,,,,,,,
03-2014,,,,,,,,,,,,,,,,,,,,,,
04-2014,,,,,,,,,,,,,,,,,,,,,,
05-2014,,,,,,,,,,,,,,,,,,,,,,
06-2014,,,,,,,,,,,,,,,,,,,,,,
07-2014,,,,,,,,,,,,,,,,,,,,,,
08-2014,,,,,,,,,,,,,,,,,,,,,,
09-2014,,,,,,,,,,,,,,,,,,,,,,
10-2014,,,,,,,,,,,,,,,,,,,,,,
11-2014,,,,,,,,,,,,,,,,,,,,,,
12-2014,,,,,,,,,,,,,,,,,,,,,,
01-2015,,,,,,,,,,,,,,,,,,,,,,
02-2015,,,,,,,,,,,,,,,,,,,,,,
03-2015,,,,,,,,,,,,,,,,,,,,,,
04-2015,,,,,,,,,,,,,,,,,,,,,,
05-2015,,,,,,,,,,,,,,,,,,,,,,
06-2015,,,,,,,,,,,,,,,,,,,,,,
07-2015,,,,,,,,,,,,,,,,,,,,,,
08-2015,,,,,,,,,,,,,,,,,,,,,,
09-2015,,,,,,,,,,,,,,,,,,,,,,
10-2015,,,,,,,,,,,,,,,,,,,,,,
11-2015,,,,,,,,,,,,,,,,,,,,,,
12-2015,,,,,,,,,,,,,,,,,,,,,,
01-2016,,,,,,,,,,,,,,,,,,,,,,
02-2016,,,,,,,,,,,,,,,,,,,,,,
03-2016,,,,,,,,,,,,,,,,,,,,,,
04-2016,,,,,,,,,,,,,,,,,,,,,,
05-2016,,,,,,,,,,,,,,,,,,,,,,
06-2016,,,,,,,,,,,,,,,,,,,,,,
07-2016,,,,,,,,,,,,,,,,,,,,,,
08-2016,,,,,,,,,,,,,,,,,,,,,,
09-2016,,,,,,,,,,,,,,,,,,,,,,
10-2016,,,,,,,,,,,,,,,,,,,,,,
11-2016,,,,,,,,,,,,,,,,,,,,,,
12-2016,,,,,,,,,,,,,,,,,,,,,,
01-2017,,,,,,,,,,,,,,,,,,,,,,
02-2017,,,,,,,,,,,,,,,,,,,,,,
03-2017,,,,,,,,,,,,,,,,,,,,,,
04-2017,,,,,,,,,,,,,,,,,,,,,,
05-2017,,,,,,,,,,,,,,,,,,,,,,
06-2017,,,,,,,,,,,,,,,,,,,,,,
07-2017,,,,,,,,,,,,,,,,,,,,,,
08-2017,,,,,,,,,,,,,,,,,,,,,,
09-2017,,,,,,,,,,,,,,,,,,,,,,
10-2017,,,,,,,,,,,,,,,,,,,,,,
11-2017,,,,,,,,,,,,,,,,,,,,,,
12-2017,,,,,,,,,,,,,,,,,,,,,,
01-2018,,,,,,,,,,,,,,,,,,,,,,
02-2018,,,,,,,,,,,,,,,,,,,,,,
03-2018,,,,,,,,,,,,,,,,,,,,,,
04-2018,,,,,,,,,,,,,,,,,,,,,,
05-2018,,,,,,,,,,,,,,,,,,,,,,
06-2018,,,,,,,,,,,,,,,,,,,,,,
07-2018,,,,,,,,,,,,,,,,,,,,,,
08-2018,,,,,,,,,,,,,,,,,,,,,,
09-2018,,,,,,,,,,,,,,,,,,,,,,
10-2018,,,,,,,,,,,,,,,,,,,,,,
11-2018,,,,,,,,,,,,,,,,,,,,,,
12-2018,,,,,,,,,,,,,,,,,,,,,,
01-2019,,,,,,,,,,,,,,,,,,,,,,
02-2019,,,,,,,,,,,,,,,,,,,,,,
03-2019,,,,,,,,,,,,,,,,,,,,,,
04-2019,,,,,,,,,,,,,,,,,,,,,,
05-2019,,,,,,,,,,,,,,,,,,,,,,
06-2019,,,,,,,,,,,,,,,,,,,,,,
07-2019,,,,,,,,,,,,,,,,,,,,,,
08-2019,,,,,,,,,,,,,,,,,,,,,,
09-2019,,,,,,,,,,,,,,,,,,,,,,
10-2019,,,,,,,,,,,,,,,,,,,,,,
11-2019,,,,,,,,,,,,,,,,,,,,,,
12-2019,,,,,,,,,,,,,,,,,,,,,,
01-2020,,,,,,,,,,,,,,,,,,,,,,
02-2020,,,,,,,,,,,,,,,,,,,,,,
03-2020,,,,,,,,,,,,,,,,,,,,,,
04-2020,,,,,,,,,,,,,,,,,,,,,,
05-2020,,,,,,,,,,,,,,,,,,,,,,
06-2020,,,,,,,,,,,,,,,,,,,,,,
07-2020,,,,,,,,,,,,,,,,,,,,,,
08-2020,,,,,,,,,,,,,,,,,,,,,,
09-2020,,,,,,,,,,,,,,,,,,,,,,
10-2020,,,,,,,,,,,,,,,,,,,,,,
11-2020,,,,,,,,,,,,,,,,,,,,,,
